price;seller;fue;gear;miles;year_model;type;wheels;hpower;color;engine;date_traffic;brand;model;region;;
40500;Privat;Diesel;Manuell;29950;2012;Kombi;Tvåhjulsdriven;116;Vit;1560;2012-03-05;Volvo;V50;Värmland;;
175000;Privat;Diesel;Automat;16914;2013;SUV;Fyrhjulsdriven;200;Silver;2401;2013-02-14;Volvo;XC90;Värmland;;
99000;Företag;Diesel;Automat;26140;2013;Halvkombi;Tvåhjulsdriven;150;Grå;1984;2012-08-14;Volvo;V40;Blekinge;;
219000;Företag;Bensin;Automat;7553;2019;Halvkombi;Tvåhjulsdriven;153;Grå;1498;2018-08-31;Volvo;V40 Cross Country;Blekinge;;
144800;Företag;Bensin;Automat;18899;2016;Kombi;Tvåhjulsdriven;153;Röd;1498;2015-10-08;Volvo;V60;Blekinge;;
79000;Företag;Diesel;Automat;31202;2011;Kombi;Fyrhjulsdriven;206;Svart;2400;2011-02-25;Volvo;V70;Blekinge;;
164500;Företag;Diesel;Automat;17116;2013;SUV;Fyrhjulsdriven;165;Svart;2400;2013-04-17;Volvo;XC60;Blekinge;;
229000;Företag;Diesel;Automat;13810;2017;SUV;Fyrhjulsdriven;191;Vit;2400;2017-06-15;Volvo;XC60;Blekinge;;
23000;Privat;Miljöbränsle/Hybrid;Manuell;28664;2007;Halvkombi;Tvåhjulsdriven;126;Grå;1798;2007-01-29;Volvo;C30;Blekinge;;
74900;Företag;Diesel;Automat;22951;2010;Kombi;Tvåhjulsdriven;176;Grå;2400;2009-11-25;Volvo;V70;Blekinge;;
274500;Företag;Diesel;Manuell;9600;2020;SUV;Tvåhjulsdriven;191;Grå;1969;2020-03-17;Volvo;XC60;Blekinge;;
89500;Företag;Miljöbränsle/Hybrid;Automat;25100;2011;Kombi;Tvåhjulsdriven;232;Vit;2521;2011-03-16;Volvo;V70;Blekinge;;
349500;Företag;Diesel;Automat;8980;2022;Kombi;Fyrhjulsdriven;200;Mörkgrå;1969;2021-06-29;Volvo;V60 Cross Country;Blekinge;;
489500;Företag;El;Automat;0;2025;SUV;Tvåhjulsdriven;275;Grå;NA;NA;Volvo;EX30;Blekinge;;
489500;Företag;El;Automat;0;2025;SUV;Tvåhjulsdriven;275;Vit;NA;NA;Volvo;EX30;Blekinge;;
79900;Företag;Diesel;Manuell;23478;2008;Kombi;Tvåhjulsdriven;164;Ljusgrå;2400;2007-11-28;Volvo;V70;Blekinge;;
165000;Privat;Diesel;Manuell;9380;2017;Halvkombi;Tvåhjulsdriven;150;Svart;1969;2016-10-14;Volvo;V40 Cross Country;Blekinge;;
75000;Privat;Diesel;Automat;28555;2014;Halvkombi;Tvåhjulsdriven;150;Grå;1984;2013-10-23;Volvo;V40;Blekinge;;
32000;Privat;Bensin;Manuell;29870;2002;Kombi;Tvåhjulsdriven;200;Röd;2435;2001-12-05;Volvo;V70;Blekinge;;
274800;Företag;Miljöbränsle/Hybrid;Automat;18850;2021;SUV;Tvåhjulsdriven;198;Svart;1969;2021-03-09;Volvo;XC60;Blekinge;;
12000;Privat;Bensin;Manuell;28336;2001;Sedan;Tvåhjulsdriven;141;Grön;2435;2000-12-18;Volvo;S60;Blekinge;;
77000;Privat;Bensin;Manuell;25427;2015;Kombi;Tvåhjulsdriven;180;Svart;1596;2014-09-30;Volvo;V70;Blekinge;;
